call_id,call_date,rep_id,territory_id,physician_id,product_id,call_type,call_outcome,samples_left,discussion_minutes,follow_up_required
C0001,2024-01-08,R001,T001,P001,PROD001,Detail,Positive,2,18,false
C0002,2024-01-08,R001,T001,P002,PROD001,Detail,Neutral,1,12,true
C0003,2024-01-09,R001,T001,P003,PROD002,Detail,Positive,3,15,false
C0004,2024-01-10,R002,T002,P004,PROD001,Detail,Positive,2,22,false
C0005,2024-01-10,R002,T002,P005,PROD002,Detail,Neutral,2,10,true
C0006,2024-01-11,R002,T002,P006,PROD002,Detail,Negative,0,8,true
C0007,2024-01-12,R003,T003,P007,PROD001,Detail,Positive,2,20,false
C0008,2024-01-12,R003,T003,P008,PROD002,Detail,Positive,3,14,false
C0009,2024-01-15,R004,T004,P009,PROD001,Detail,Positive,2,25,false
C0010,2024-01-15,R004,T004,P010,PROD002,Detail,Neutral,1,11,true
C0011,2024-01-16,R005,T005,P011,PROD001,Detail,Positive,2,19,false
C0012,2024-01-16,R005,T005,P012,PROD002,Detail,Negative,0,7,true
C0013,2024-01-17,R006,T006,P013,PROD001,Detail,Positive,2,21,false
C0014,2024-01-18,R007,T007,P015,PROD001,Detail,Positive,2,17,false
C0015,2024-01-19,R008,T008,P017,PROD001,Detail,Positive,2,24,false
C0016,2024-01-19,R008,T008,P018,PROD004,Detail,Positive,1,16,false
C0017,2024-01-22,R009,T009,P019,PROD002,Detail,Neutral,2,13,true
C0018,2024-01-22,R009,T009,P020,PROD002,Detail,Negative,0,6,true
C0019,2024-01-23,R010,T010,P021,PROD001,Detail,Positive,2,23,false
C0020,2024-01-23,R010,T010,P022,PROD002,Detail,Positive,2,15,false
C0021,2024-01-24,R011,T011,P023,PROD001,Detail,Positive,2,20,false
C0022,2024-01-25,R012,T012,P025,PROD001,Detail,Positive,2,22,false
C0023,2024-01-26,R013,T013,P027,PROD001,Detail,Positive,2,18,false
C0024,2024-01-26,R013,T013,P028,PROD002,Detail,Neutral,1,10,true
C0025,2024-01-29,R014,T014,P029,PROD001,Detail,Positive,2,21,false
C0026,2024-01-30,R015,T015,P031,PROD001,Detail,Positive,2,26,false
C0027,2024-01-31,R016,T016,P033,PROD001,Detail,Positive,2,19,false
C0028,2024-02-01,R017,T017,P035,PROD001,Detail,Positive,2,20,false
C0029,2024-02-01,R018,T018,P037,PROD001,Detail,Positive,2,17,false
C0030,2024-02-02,R019,T019,P039,PROD001,Detail,Positive,2,23,false
C0031,2024-02-02,R019,T019,P039,PROD004,Follow-up,Positive,1,15,false
C0032,2024-02-05,R020,T020,P041,PROD001,Detail,Positive,2,28,false
C0033,2024-02-05,R020,T020,P041,PROD008,Detail,Positive,1,12,false
C0034,2024-02-06,R001,T001,P001,PROD001,Follow-up,Positive,0,20,false
C0035,2024-02-06,R001,T001,P002,PROD004,Detail,Neutral,1,14,true
C0036,2024-02-07,R002,T002,P004,PROD004,Detail,Positive,1,18,false
C0037,2024-02-08,R003,T003,P007,PROD004,Detail,Positive,1,16,false
C0038,2024-02-09,R004,T004,P009,PROD004,Detail,Positive,1,20,false
C0039,2024-02-12,R005,T005,P011,PROD004,Detail,Positive,1,18,false
C0040,2024-02-13,R008,T008,P017,PROD004,Follow-up,Positive,0,22,false
C0041,2024-02-14,R010,T010,P021,PROD004,Detail,Positive,1,19,false
C0042,2024-02-15,R015,T015,P031,PROD004,Detail,Positive,1,21,false
C0043,2024-02-16,R020,T020,P041,PROD001,Follow-up,Positive,0,25,false
C0044,2024-02-19,R001,T001,P001,PROD008,Detail,Positive,1,15,false
C0045,2024-02-20,R008,T008,P017,PROD008,Detail,Positive,1,18,false
C0046,2024-02-21,R010,T010,P021,PROD008,Detail,Positive,1,16,false
C0047,2024-02-22,R015,T015,P031,PROD008,Detail,Positive,1,20,false
C0048,2024-02-23,R020,T020,P041,PROD008,Follow-up,Positive,0,22,false
C0049,2024-03-01,R001,T001,P001,PROD001,Follow-up,Positive,0,18,false
C0050,2024-03-01,R002,T002,P004,PROD001,Follow-up,Positive,0,20,false
C0051,2024-03-04,R003,T003,P007,PROD001,Follow-up,Positive,0,19,false
C0052,2024-03-05,R004,T004,P009,PROD001,Follow-up,Positive,0,22,false
C0053,2024-03-06,R005,T005,P011,PROD001,Follow-up,Positive,0,20,false
C0054,2024-03-07,R008,T008,P017,PROD001,Follow-up,Positive,0,24,false
C0055,2024-03-08,R010,T010,P021,PROD001,Follow-up,Positive,0,21,false
C0056,2024-03-11,R015,T015,P031,PROD001,Follow-up,Positive,0,23,false
C0057,2024-03-12,R020,T020,P041,PROD001,Follow-up,Positive,0,26,false
C0058,2024-03-13,R013,T013,P027,PROD004,Detail,Positive,1,17,false
C0059,2024-03-14,R014,T014,P029,PROD004,Detail,Positive,1,19,false
C0060,2024-03-15,R019,T019,P039,PROD004,Follow-up,Positive,0,21,false
